종목코드,종목명,hs코드,품목명,카테고리,관계유형,비고
067310,하나마이크론,8542323000,반도체_MCP,반도체,주력품목,
059090,미코,8486902040,반도체_SiC/Si/Quartz 식각 소모품,반도체,주력품목,
036810,에프에스티,8486902040,반도체_SiC/Si/Quartz 식각 소모품,반도체,관련품목,
074600,원익QnC,8486902040,반도체_SiC/Si/Quartz 식각 소모품,반도체,주력품목,
183300,코미코,8486902040,반도체_SiC/Si/Quartz 식각 소모품,반도체,주력품목,
064760,티씨케이,8486902040,반도체_SiC/Si/Quartz 식각 소모품,반도체,주력품목,
166090,하나머티리얼즈,8486902040,반도체_SiC/Si/Quartz 식각 소모품,반도체,주력품목,
000660,SK하이닉스,8542321030,반도체_낸드,반도체,관련품목,
005930,삼성전자,8542321030,반도체_낸드,반도체,관련품목,
000660,SK하이닉스,8542321010,반도체_디램,반도체,관련품목,
005930,삼성전자,8542321010,반도체_디램,반도체,관련품목,
000660,SK하이닉스,8473304060,반도체_디램 모듈,반도체,관련품목,
005930,삼성전자,8473304060,반도체_디램 모듈,반도체,관련품목,
000660,SK하이닉스,854232,반도체_메모리,반도체,관련품목,
005930,삼성전자,854232,반도체_메모리,반도체,관련품목,
098460,고영,9031419000,반도체_장비_검사장비,반도체,주력품목,
098460,고영,9031809091,반도체_장비_검사장비,반도체,주력품목,
098460,고영,9031901010,반도체_장비_검사장비,반도체,주력품목,
420770,기가비스,9031419000,반도체_장비_검사장비,반도체,주력품목,
420770,기가비스,9031809091,반도체_장비_검사장비,반도체,주력품목,
420770,기가비스,9031901010,반도체_장비_검사장비,반도체,주력품목,
064290,인텍플러스,9031419000,반도체_장비_검사장비,반도체,주력품목,
064290,인텍플러스,9031809091,반도체_장비_검사장비,반도체,주력품목,
064290,인텍플러스,9031901010,반도체_장비_검사장비,반도체,주력품목,
140860,파크시스템스,9031419000,반도체_장비_검사장비,반도체,주력품목,
140860,파크시스템스,9031809091,반도체_장비_검사장비,반도체,주력품목,
140860,파크시스템스,9031901010,반도체_장비_검사장비,반도체,주력품목,
403870,HPSP,8486105030,반도체_장비_고압수소어닐링 (HPA),반도체,주력품목,
122640,예스티,8486105030,반도체_장비_고압수소어닐링 (HPA),반도체,주력품목,
039030,이오테크닉스,8486208110,반도체_장비_레이저가공/다이싱,반도체,주력품목,
039030,이오테크닉스,8486208120,반도체_장비_레이저가공/다이싱,반도체,주력품목,
039030,이오테크닉스,8486209321,반도체_장비_레이저가공/다이싱,반도체,주력품목,
039030,이오테크닉스,8486209600,반도체_장비_레이저가공/다이싱,반도체,주력품목,
161580,필옵틱스,8486208110,반도체_장비_레이저가공/다이싱,반도체,주력품목,
161580,필옵틱스,8486208120,반도체_장비_레이저가공/다이싱,반도체,주력품목,
161580,필옵틱스,8486209321,반도체_장비_레이저가공/다이싱,반도체,주력품목,
161580,필옵틱스,8486209600,반도체_장비_레이저가공/다이싱,반도체,주력품목,
042700,한미반도체,8486208110,반도체_장비_레이저가공/다이싱,반도체,관련품목,
042700,한미반도체,8486208120,반도체_장비_레이저가공/다이싱,반도체,관련품목,
042700,한미반도체,8486209321,반도체_장비_레이저가공/다이싱,반도체,관련품목,
042700,한미반도체,8486209600,반도체_장비_레이저가공/다이싱,반도체,관련품목,
053610,프로텍,8486402040,반도체_장비_범핑/리플로우,반도체,관련품목,
053610,프로텍,8486402093,반도체_장비_범핑/리플로우,반도체,관련품목,
053610,프로텍,8486402099,반도체_장비_범핑/리플로우,반도체,관련품목,
031980,피에스케이홀딩스,8486402040,반도체_장비_범핑/리플로우,반도체,주력품목,
031980,피에스케이홀딩스,8486402093,반도체_장비_범핑/리플로우,반도체,주력품목,
031980,피에스케이홀딩스,8486402099,반도체_장비_범핑/리플로우,반도체,주력품목,
042700,한미반도체,8486402040,반도체_장비_범핑/리플로우,반도체,관련품목,
042700,한미반도체,8486402093,반도체_장비_범핑/리플로우,반도체,관련품목,
042700,한미반도체,8486402099,반도체_장비_범핑/리플로우,반도체,관련품목,
053610,프로텍,8486402010,반도체_장비_본딩,반도체,관련품목,
042700,한미반도체,8486402010,반도체_장비_본딩,반도체,관련품목,
083450,GST,8421399020,반도체_장비_스크러버,반도체,관련품목,
083450,GST,8421999030,반도체_장비_스크러버,반도체,관련품목,
383310,에코프로에이치엔,8421399020,반도체_장비_스크러버,반도체,주력품목,
383310,에코프로에이치엔,8421999030,반도체_장비_스크러버,반도체,주력품목,
036200,유니셈,8421399020,반도체_장비_스크러버,반도체,관련품목,
036200,유니셈,8421999030,반도체_장비_스크러버,반도체,관련품목,
089970,브이엠,8486208420,반도체_장비_스트립/건식 세정,반도체,관련품목,
240810,원익IPS,8486208420,반도체_장비_스트립/건식 세정,반도체,관련품목,
319660,피에스케이,8486208420,반도체_장비_스트립/건식 세정,반도체,관련품목,
089970,브이엠,8486207000,반도체_장비_습식 식각 및 세정,반도체,관련품목,
089970,브이엠,8486209110,반도체_장비_습식 식각 및 세정,반도체,관련품목,
089970,브이엠,8486209400,반도체_장비_습식 식각 및 세정,반도체,관련품목,
240810,원익IPS,8486207000,반도체_장비_습식 식각 및 세정,반도체,관련품목,
240810,원익IPS,8486209110,반도체_장비_습식 식각 및 세정,반도체,관련품목,
240810,원익IPS,8486209400,반도체_장비_습식 식각 및 세정,반도체,관련품목,
281820,케이씨텍,8486207000,반도체_장비_습식 식각 및 세정,반도체,주력품목,
281820,케이씨텍,8486209110,반도체_장비_습식 식각 및 세정,반도체,주력품목,
281820,케이씨텍,8486209400,반도체_장비_습식 식각 및 세정,반도체,주력품목,
319660,피에스케이,8486207000,반도체_장비_습식 식각 및 세정,반도체,관련품목,
319660,피에스케이,8486209110,반도체_장비_습식 식각 및 세정,반도체,관련품목,
319660,피에스케이,8486209400,반도체_장비_습식 식각 및 세정,반도체,관련품목,
240810,원익IPS,8486204000,반도체_장비_증착,반도체,관련품목,
084370,유진테크,8486204000,반도체_장비_증착,반도체,주력품목,
036930,주성엔지니어링,8486204000,반도체_장비_증착,반도체,주력품목,
095610,테스,8486204000,반도체_장비_증착,반도체,주력품목,
083450,GST,8418692090,반도체_장비_칠러,반도체,관련품목,
083450,GST,8418999000,반도체_장비_칠러,반도체,관련품목,
036810,에프에스티,8418692090,반도체_장비_칠러,반도체,관련품목,
036810,에프에스티,8418999000,반도체_장비_칠러,반도체,관련품목,
036200,유니셈,8418692090,반도체_장비_칠러,반도체,관련품목,
036200,유니셈,8418999000,반도체_장비_칠러,반도체,관련품목,
003160,디아이,8486402020,반도체_장비_핸들러,반도체,주력품목,
232140,와이씨,8486402020,반도체_장비_핸들러,반도체,주력품목,
089030,테크윙,8486402020,반도체_장비_핸들러,반도체,주력품목,
042700,한미반도체,8486402020,반도체_장비_핸들러,반도체,관련품목,
095340,ISC,853690,반도체_테스트 핀/포고핀,반도체,주력품목,
058470,리노공업,853690,반도체_테스트 핀/포고핀,반도체,주력품목,
425420,티에프이,853690,반도체_테스트 핀/포고핀,반도체,주력품목,
252990,샘씨엔에스,9030901000,반도체_프로브카드,반도체,주력품목,
131290,티에스이,9030901000,반도체_프로브카드,반도체,주력품목,
278470,에이피알,9018908900,에스테틱_미용기기,에스테틱,관련품목,
278470,에이피알,9018909000,에스테틱_미용기기,에스테틱,관련품목,
214150,클래시스,9018908900,에스테틱_미용기기,에스테틱,관련품목,
214150,클래시스,9018909000,에스테틱_미용기기,에스테틱,관련품목,
069620,대웅제약,3002491000,에스테틱_보톡스,에스테틱,주력품목,
086900,메디톡스,3002491000,에스테틱_보톡스,에스테틱,관련품목,
145020,휴젤,3002491000,에스테틱_보톡스,에스테틱,관련품목,
086900,메디톡스,3304999000,에스테틱_필러,에스테틱,관련품목,
290650,엘앤씨바이오,3304999000,에스테틱_필러,에스테틱,주력품목,
214450,파마리서치,3304999000,에스테틱_필러,에스테틱,주력품목,
145020,휴젤,3304999000,에스테틱_필러,에스테틱,관련품목,
278470,에이피알,8543702020,에스테틱_홈뷰티,에스테틱,관련품목,
214150,클래시스,8543702020,에스테틱_홈뷰티,에스테틱,관련품목,
194700,노바렉스,2106909099,음식료_건강기능식품,음식료,주력품목,
008490,서흥,2106909099,음식료_건강기능식품,음식료,주력품목,
004370,농심,1902301010,음식료_라면,음식료,주력품목,
003230,삼양식품,1902301010,음식료_라면,음식료,관련품목,
007310,오뚜기,1902301010,음식료_라면,음식료,주력품목,
003230,삼양식품,2103909090,음식료_라면 소스,음식료,관련품목,
260970,에스앤디,2103909090,음식료_라면 소스,음식료,주력품목,
011070,LG이노텍,8534002000,전기전자_FPCB,전기전자,관련품목,
085670,뉴프렉스,8534002000,전기전자_FPCB,전기전자,주력품목,
090460,비에이치,8534002000,전기전자_FPCB,전기전자,주력품목,
007810,코리아써키트,8534002000,전기전자_FPCB,전기전자,관련품목,
009150,삼성전기,853224,전기전자_MLCC,전기전자,관련품목,
001820,삼화콘덴서,853224,전기전자_MLCC,전기전자,주력품목,
011070,LG이노텍,8534009000,전기전자_PCB 기판,전기전자,관련품목,
353200,대덕전자,8534009000,전기전자_PCB 기판,전기전자,주력품목,
009150,삼성전기,8534009000,전기전자_PCB 기판,전기전자,관련품목,
222800,심텍,8534009000,전기전자_PCB 기판,전기전자,주력품목,
007660,이수페타시스,8534009000,전기전자_PCB 기판,전기전자,주력품목,
007810,코리아써키트,8534009000,전기전자_PCB 기판,전기전자,관련품목,
356860,티엘비,8534009000,전기전자_PCB 기판,전기전자,주력품목,
195870,해성디에스,8534009000,전기전자_PCB 기판,전기전자,주력품목,
034220,LG디스플레이,8524111000,전기전자_디스플레이_LCD,전기전자,관련품목,
034220,LG디스플레이,8524112000,전기전자_디스플레이_LCD,전기전자,관련품목,
034220,LG디스플레이,8524113000,전기전자_디스플레이_LCD,전기전자,관련품목,
034220,LG디스플레이,8524114000,전기전자_디스플레이_LCD,전기전자,관련품목,
034220,LG디스플레이,8524119000,전기전자_디스플레이_LCD,전기전자,관련품목,
034220,LG디스플레이,8524911000,전기전자_디스플레이_LCD,전기전자,관련품목,
034220,LG디스플레이,8524912000,전기전자_디스플레이_LCD,전기전자,관련품목,
034220,LG디스플레이,8524913000,전기전자_디스플레이_LCD,전기전자,관련품목,
034220,LG디스플레이,8524914000,전기전자_디스플레이_LCD,전기전자,관련품목,
034220,LG디스플레이,8524919000,전기전자_디스플레이_LCD,전기전자,관련품목,
005930,삼성전자,8524111000,전기전자_디스플레이_LCD,전기전자,관련품목,
005930,삼성전자,8524112000,전기전자_디스플레이_LCD,전기전자,관련품목,
005930,삼성전자,8524113000,전기전자_디스플레이_LCD,전기전자,관련품목,
005930,삼성전자,8524114000,전기전자_디스플레이_LCD,전기전자,관련품목,
005930,삼성전자,8524119000,전기전자_디스플레이_LCD,전기전자,관련품목,
005930,삼성전자,8524911000,전기전자_디스플레이_LCD,전기전자,관련품목,
005930,삼성전자,8524912000,전기전자_디스플레이_LCD,전기전자,관련품목,
005930,삼성전자,8524913000,전기전자_디스플레이_LCD,전기전자,관련품목,
005930,삼성전자,8524914000,전기전자_디스플레이_LCD,전기전자,관련품목,
005930,삼성전자,8524919000,전기전자_디스플레이_LCD,전기전자,관련품목,
034220,LG디스플레이,8524121000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
034220,LG디스플레이,8524122000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
034220,LG디스플레이,8524123000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
034220,LG디스플레이,8524124000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
034220,LG디스플레이,8524129000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
034220,LG디스플레이,8524921000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
034220,LG디스플레이,8524922000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
034220,LG디스플레이,8524923000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
034220,LG디스플레이,8524924000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
034220,LG디스플레이,8524929000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
005930,삼성전자,8524121000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
005930,삼성전자,8524122000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
005930,삼성전자,8524123000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
005930,삼성전자,8524124000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
005930,삼성전자,8524129000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
005930,삼성전자,8524921000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
005930,삼성전자,8524922000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
005930,삼성전자,8524923000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
005930,삼성전자,8524924000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
005930,삼성전자,8524929000,전기전자_디스플레이_OLED 전체,전기전자,관련품목,
267260,HD현대일렉트릭,850433,전력기기·전력인프라·원전_건식 배전변압기,전력기기·전력인프라·원전,관련품목,
267260,HD현대일렉트릭,850434,전력기기·전력인프라·원전_건식 배전변압기,전력기기·전력인프라·원전,관련품목,
010120,LS ELECTRIC,850433,전력기기·전력인프라·원전_건식 배전변압기,전력기기·전력인프라·원전,관련품목,
010120,LS ELECTRIC,850434,전력기기·전력인프라·원전_건식 배전변압기,전력기기·전력인프라·원전,관련품목,
062040,산일전기,850433,전력기기·전력인프라·원전_건식 배전변압기,전력기기·전력인프라·원전,관련품목,
062040,산일전기,850434,전력기기·전력인프라·원전_건식 배전변압기,전력기기·전력인프라·원전,관련품목,
033100,제룡전기,850433,전력기기·전력인프라·원전_건식 배전변압기,전력기기·전력인프라·원전,관련품목,
033100,제룡전기,850434,전력기기·전력인프라·원전_건식 배전변압기,전력기기·전력인프라·원전,관련품목,
298040,효성중공업,850433,전력기기·전력인프라·원전_건식 배전변압기,전력기기·전력인프라·원전,관련품목,
298040,효성중공업,850434,전력기기·전력인프라·원전_건식 배전변압기,전력기기·전력인프라·원전,관련품목,
267260,HD현대일렉트릭,850423,전력기기·전력인프라·원전_대형 변압기,전력기기·전력인프라·원전,관련품목,
010120,LS ELECTRIC,850423,전력기기·전력인프라·원전_대형 변압기,전력기기·전력인프라·원전,관련품목,
062040,산일전기,850423,전력기기·전력인프라·원전_대형 변압기,전력기기·전력인프라·원전,관련품목,
103590,일진전기,850423,전력기기·전력인프라·원전_대형 변압기,전력기기·전력인프라·원전,관련품목,
298040,효성중공업,850423,전력기기·전력인프라·원전_대형 변압기,전력기기·전력인프라·원전,관련품목,
267260,HD현대일렉트릭,853710,전력기기·전력인프라·원전_배전반 및 스위치,전력기기·전력인프라·원전,관련품목,
267260,HD현대일렉트릭,853720,전력기기·전력인프라·원전_배전반 및 스위치,전력기기·전력인프라·원전,관련품목,
010120,LS ELECTRIC,853710,전력기기·전력인프라·원전_배전반 및 스위치,전력기기·전력인프라·원전,관련품목,
010120,LS ELECTRIC,853720,전력기기·전력인프라·원전_배전반 및 스위치,전력기기·전력인프라·원전,관련품목,
062040,산일전기,853710,전력기기·전력인프라·원전_배전반 및 스위치,전력기기·전력인프라·원전,관련품목,
062040,산일전기,853720,전력기기·전력인프라·원전_배전반 및 스위치,전력기기·전력인프라·원전,관련품목,
103590,일진전기,853710,전력기기·전력인프라·원전_배전반 및 스위치,전력기기·전력인프라·원전,관련품목,
103590,일진전기,853720,전력기기·전력인프라·원전_배전반 및 스위치,전력기기·전력인프라·원전,관련품목,
033100,제룡전기,853710,전력기기·전력인프라·원전_배전반 및 스위치,전력기기·전력인프라·원전,관련품목,
033100,제룡전기,853720,전력기기·전력인프라·원전_배전반 및 스위치,전력기기·전력인프라·원전,관련품목,
298040,효성중공업,853710,전력기기·전력인프라·원전_배전반 및 스위치,전력기기·전력인프라·원전,관련품목,
298040,효성중공업,853720,전력기기·전력인프라·원전_배전반 및 스위치,전력기기·전력인프라·원전,관련품목,
062040,산일전기,850421,전력기기·전력인프라·원전_소형 변압기,전력기기·전력인프라·원전,관련품목,
033100,제룡전기,850421,전력기기·전력인프라·원전_소형 변압기,전력기기·전력인프라·원전,관련품목,
267260,HD현대일렉트릭,850422,전력기기·전력인프라·원전_중형 변압기,전력기기·전력인프라·원전,관련품목,
010120,LS ELECTRIC,850422,전력기기·전력인프라·원전_중형 변압기,전력기기·전력인프라·원전,관련품목,
062040,산일전기,850422,전력기기·전력인프라·원전_중형 변압기,전력기기·전력인프라·원전,관련품목,
103590,일진전기,850422,전력기기·전력인프라·원전_중형 변압기,전력기기·전력인프라·원전,관련품목,
