hs코드,품목명,기업명,종목코드,연월,수출금액_usd
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2025-06,52811595
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2025-07,86121934
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2025-08,49682619
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2025-09,88192432
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2025-10,92546548
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2025-11,112820163
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2025-12,128400608
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2026-01,85061212
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2026-02,106717556
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2026-03,105154741
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2026-04,94715904
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2026-05,96635413
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2026-06,104547585
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2017-01,74568257
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2017-02,88136671
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2017-03,88769633
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2017-04,77903178
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2017-05,102375413
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2017-06,93668769
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2017-07,85659297
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2017-08,97056676
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2017-09,91292723
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2017-10,83340791
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2017-11,92493176
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2017-12,105233852
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2018-01,108415665
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2018-02,110115005
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2018-03,115710982
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2018-04,119070743
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2018-05,133985777
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2018-06,127275304
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2018-07,121930992
